occupation_code,occupation_title,category,before_score,after_score,expected_benchmark,absolute_mismatch_before,absolute_mismatch_after,improvement,proposed_ai_exposure,proposed_ai_replacement_risk,proposed_career_resilience
"ONET-00191","Social Worker","public sector/social work",43,33,33,10,0,10,50,26,65
"ONET-00192","Case Worker","public sector/social work",43,33,33,10,0,10,50,26,65
"ONET-00193","Community Outreach Coordinator","public sector/social work",43,33,33,10,0,10,50,26,65
"ONET-00194","School Counselor","public sector/social work",43,33,33,10,0,10,50,26,65
"ONET-00015","Legal Secretary","legal/compliance",67,58,52,15,6,9,60,55,35
"ONET-00016","Compliance Analyst","legal/compliance",67,58,52,15,6,9,60,55,35
"ONET-00017","Contract Administrator","legal/compliance",67,58,52,15,6,9,60,55,35
"ONET-00078","Medical Coder","healthcare",49,40,36,13,4,9,50,33,54
"ONET-00079","Health Information Manager","healthcare",49,40,36,13,4,9,50,33,54
"ONET-00080","Care Coordinator","healthcare",49,40,36,13,4,9,50,33,54
"ONET-00081","Nurse Practitioner","healthcare",49,40,36,13,4,9,50,33,54
"ONET-00082","Public Health Nurse","healthcare",49,40,36,13,4,9,50,33,54
"ONET-00091","University Lecturer","education",49,40,39,10,1,9,50,33,54
"ONET-00092","School Principal","education",49,40,39,10,1,9,50,33,54
"ONET-00093","Corporate Trainer","education",49,40,39,10,1,9,50,33,54
"ONET-00094","Education Program Manager","education",49,40,39,10,1,9,50,33,54
"ONET-00099","Electrician","skilled trades",50,41,34,16,7,9,52,34,52
"ONET-00100","HVAC Technician","skilled trades",50,41,34,16,7,9,52,34,52
"ONET-00101","Plumber","skilled trades",50,41,34,16,7,9,52,34,52
"ONET-00102","Automotive Technician","skilled trades",50,41,34,16,7,9,52,34,52
"ONET-00195","Policy Analyst","public sector/social work",49,40,36,13,4,9,50,33,54
"ONET-00196","Public Administration Officer","public sector/social work",49,40,36,13,4,9,50,33,54
"ONET-00197","Emergency Management Coordinator","public sector/social work",49,40,36,13,4,9,50,33,54
"ONET-00018","Contract Paralegal","legal/compliance",53,45,44,9,1,8,58,39,53
"ONET-00019","Litigation Paralegal","legal/compliance",53,45,44,9,1,8,58,39,53
"ONET-00020","Regulatory Compliance Officer","legal/compliance",53,45,44,9,1,8,58,39,53
"ONET-00021","Corporate Governance Analyst","legal/compliance",53,45,44,9,1,8,58,39,53
"ONET-00022","Privacy Compliance Specialist","legal/compliance",53,45,44,9,1,8,58,39,53
