job_title,ai_exposure_score,career_resilience_score,archetype,positioning_summary,top_strengths,top_exposure_areas,recommendations
"Accounts Payable Specialist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Accounts Receivable Specialist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Bookkeeper",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Payroll Specialist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Legal Secretary",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Compliance Analyst",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Contract Administrator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Junior QA Tester",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Manual Test Analyst",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Technical Support Specialist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Implementation Specialist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"IT Helpdesk Analyst",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"CNC Machinist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Assembly Line Operator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Warehouse Equipment Operator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Quality Inspection Technician",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Logistics Coordinator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
