job_title,category,primary_riasec_type,secondary_riasec_type,ilonaa_ai_risk_index,ai_exposure_score,career_resilience_score,key_risk_drivers,human_advantage_factors,recommended_next_moves
"Accounts Payable Specialist","finance/accounting","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Accounts Receivable Specialist","finance/accounting","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Bookkeeper","finance/accounting","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Payroll Specialist","finance/accounting","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Legal Secretary","legal/compliance","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Compliance Analyst","legal/compliance","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Contract Administrator","legal/compliance","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Junior QA Tester","software/technology","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Manual Test Analyst","software/technology","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Technical Support Specialist","software/technology","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Implementation Specialist","software/technology","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"IT Helpdesk Analyst","software/technology","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"CNC Machinist","skilled trades","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Assembly Line Operator","skilled trades","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Warehouse Equipment Operator","skilled trades","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Quality Inspection Technician","skilled trades","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Logistics Coordinator","operations/logistics","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Supply Chain Planner","operations/logistics","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Dispatch Coordinator","operations/logistics","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Inventory Planner","operations/logistics","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Procurement Analyst","operations/logistics","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Entry Clerk","administration/support","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Administrative Assistant","administration/support","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Receptionist","administration/support","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Scheduling Coordinator","administration/support","Conventional","Realistic",72,69,34,"Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Adaptability; Specialized Expertise; Human-Centered Skills","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Tax Accountant","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Audit Associate","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Budget Analyst","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Treasury Analyst","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Credit Analyst","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Revenue Operations Analyst","finance/accounting","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Contract Paralegal","legal/compliance","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Litigation Paralegal","legal/compliance","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Regulatory Compliance Officer","legal/compliance","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Corporate Governance Analyst","legal/compliance","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Privacy Compliance Specialist","legal/compliance","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Annotation Specialist","AI/data","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"BI Reporting Analyst","AI/data","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
