occupation_code,occupation_title,category,primary_riasec,secondary_riasec,current_ai_exposure,current_career_resilience,current_ilonaa_ai_risk_index,expected_ai_risk_band,expected_ai_risk_score,expected_rationale,mismatch_current_minus_expected,absolute_mismatch,likely_responsible_factor,mismatch_explanation
"ONET-00095","CNC Machinist","skilled trades","Realistic","Conventional",75,33,67,"Medium",47,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",20,20,"routine/process structure likely overweighted","CNC Machinist (skilled trades) appears overestimated by 20 points versus human-prior benchmark."
"ONET-00096","Assembly Line Operator","skilled trades","Realistic","Conventional",75,33,67,"Medium",47,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",20,20,"routine/process structure likely overweighted","Assembly Line Operator (skilled trades) appears overestimated by 20 points versus human-prior benchmark."
"ONET-00097","Warehouse Equipment Operator","skilled trades","Realistic","Conventional",75,33,67,"Medium",47,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",20,20,"routine/process structure likely overweighted","Warehouse Equipment Operator (skilled trades) appears overestimated by 20 points versus human-prior benchmark."
"ONET-00098","Quality Inspection Technician","skilled trades","Realistic","Conventional",75,33,67,"Medium",47,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",20,20,"routine/process structure likely overweighted","Quality Inspection Technician (skilled trades) appears overestimated by 20 points versus human-prior benchmark."
"ONET-00099","Electrician","skilled trades","Realistic","Conventional",51,50,50,"Low",34,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",16,16,"routine/process structure likely overweighted","Electrician (skilled trades) appears overestimated by 16 points versus human-prior benchmark."
"ONET-00100","HVAC Technician","skilled trades","Realistic","Conventional",51,50,50,"Low",34,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",16,16,"routine/process structure likely overweighted","HVAC Technician (skilled trades) appears overestimated by 16 points versus human-prior benchmark."
"ONET-00101","Plumber","skilled trades","Realistic","Conventional",51,50,50,"Low",34,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",16,16,"routine/process structure likely overweighted","Plumber (skilled trades) appears overestimated by 16 points versus human-prior benchmark."
"ONET-00102","Automotive Technician","skilled trades","Realistic","Conventional",51,50,50,"Low",34,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",16,16,"routine/process structure likely overweighted","Automotive Technician (skilled trades) appears overestimated by 16 points versus human-prior benchmark."
"ONET-00015","Legal Secretary","legal/compliance","Conventional","Investigative",75,33,67,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",15,15,"routine/process structure likely overweighted","Legal Secretary (legal/compliance) appears overestimated by 15 points versus human-prior benchmark."
"ONET-00016","Compliance Analyst","legal/compliance","Conventional","Investigative",75,33,67,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",15,15,"routine/process structure likely overweighted","Compliance Analyst (legal/compliance) appears overestimated by 15 points versus human-prior benchmark."
"ONET-00017","Contract Administrator","legal/compliance","Conventional","Investigative",75,33,67,"Medium",52,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",15,15,"routine/process structure likely overweighted","Contract Administrator (legal/compliance) appears overestimated by 15 points versus human-prior benchmark."
"ONET-00078","Medical Coder","healthcare","Social","Investigative",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Medical Coder (healthcare) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00079","Health Information Manager","healthcare","Social","Investigative",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Health Information Manager (healthcare) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00080","Care Coordinator","healthcare","Social","Investigative",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Care Coordinator (healthcare) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00081","Nurse Practitioner","healthcare","Social","Investigative",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Nurse Practitioner (healthcare) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00082","Public Health Nurse","healthcare","Social","Investigative",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Public Health Nurse (healthcare) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00103","Tool and Die Maker","skilled trades","Realistic","Conventional",43,64,42,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"decision consequence/accountability underweighted","Tool and Die Maker (skilled trades) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00104","Instrumentation Technician","skilled trades","Realistic","Conventional",43,64,42,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"decision consequence/accountability underweighted","Instrumentation Technician (skilled trades) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00105","Maintenance Technician","skilled trades","Realistic","Conventional",43,64,42,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"decision consequence/accountability underweighted","Maintenance Technician (skilled trades) appears overestimated by 13 points versus human-prior benchmark."
